Date,Open,High,Low,Close,Volume,Trend
31016,802.55,803.54,796.23,800.38,1489212
300916,803.60,808.09,801.50,804.06,1660201
290916,807.23,813.91,800.86,802.64,1349974
280916,804.08,810.25,802.78,810.06,1470280
270916,801.83,813.49,801.83,810.73,1367271
260916,809.82,810.08,800.45,802.65,1472732
230916,815.14,817.00,812.73,814.96,1411673
220916,810.00,819.06,807.71,815.95,1759290
210916,801.26,805.91,796.03,805.03,1348476
200916,800.00,802.75,798.26,799.78,1050041
190916,801.11,803.99,793.56,795.39,1149522
160916,799.02,799.02,793.62,797.97,2130571
150916,790.01,803.64,788.66,801.23,1566360
140916,787.53,796.33,787.53,790.46,1313912
130916,794.01,795.79,784.33,788.72,1809044
120916,784.52,800.17,783.50,798.82,1863737
90916,798.77,801.75,788.05,788.48,1887633
80916,805.22,808.42,801.01,802.84,1177660
70916,807.93,810.60,803.72,807.99,1145724
60916,798.39,810.89,795.43,808.02,1989537
20916,795.27,797.10,793.26,796.87,1347368
10916,791.98,792.89,786.33,791.40,1303460
310816,789.60,791.57,787.20,789.85,1071420
300816,792.88,798.00,789.47,791.92,1167413
290816,793.05,798.52,790.32,795.82,773698
260816,792.49,799.40,789.41,793.22,1248881
250816,792.00,794.72,787.23,791.30,1202680
240816,796.86,798.46,790.76,793.60,1284437
230816,800.48,801.00,795.99,796.59,917513
220816,798.51,799.30,794.33,796.95,853365
190816,799.79,801.23,796.88,799.65,1120763
180816,805.36,808.00,801.63,802.75,865160
170816,800.00,805.63,796.30,805.42,1066070
160816,803.50,804.26,797.00,801.19,1057897
150816,807.21,811.36,804.03,805.96,930074
120816,805.09,807.19,803.64,807.05,897283
110816,810.47,813.88,806.00,808.20,1282274
100816,807.05,810.88,806.49,808.49,918514
90816,804.49,813.33,804.06,807.48,1607685
80816,806.00,807.60,801.69,805.23,1221609
50816,800.11,807.22,797.81,806.93,1807271
40816,798.24,800.20,793.92,797.25,1076031
30816,796.47,799.54,793.02,798.92,1461025
20816,797.33,802.32,794.53,800.12,1996354
10816,786.67,807.49,785.04,800.94,3029658
290716,797.71,803.94,790.00,791.34,5090527
280716,768.84,768.97,759.09,765.84,3673221
270716,758.97,764.45,755.93,761.97,1608589
260716,757.52,759.26,752.75,757.65,1189573
250716,757.68,759.82,754.07,757.52,1073310
220716,757.32,759.45,752.66,759.28,1046024
210716,757.00,758.15,751.52,754.41,953053
200716,754.05,760.64,754.05,757.08,1125117
190716,749.87,756.59,748.49,753.41,1521795
180716,737.91,755.14,736.51,753.20,1934900
150716,741.00,741.00,734.64,735.63,1617087
140716,733.94,736.14,730.59,735.80,1070351
130716,735.52,735.52,729.02,729.48,1021827
120716,731.92,735.60,727.50,732.51,1328680
110716,719.42,728.93,718.86,727.20,1441113
80716,710.56,717.90,708.11,717.78,1497323
70716,710.11,710.17,700.67,707.26,1058698
60716,699.84,713.00,699.00,708.97,1445126
50716,705.01,708.12,699.13,704.89,1422028
10716,705.10,712.53,703.73,710.25,1549160
